Area,Bedrooms,Bathrooms,Age,Price
2533,1,1,17,350163
645,3,3,16,283644
4888,3,4,26,843346
931,5,2,8,396803
1204,4,2,8,398064
3132,1,4,22,512361
4994,5,3,9,943821
1463,5,2,18,476623
2734,1,2,28,394812
2541,1,2,14,408438
2328,3,3,4,534923
2608,4,3,14,608712
4568,4,4,19,858857
1438,1,3,22,273127
1306,2,3,29,313841
1963,5,1,24,473234
3915,5,4,27,803675
510,1,2,1,150939
2368,2,3,12,443705
1384,3,2,23,362220
4064,1,2,15,572007
1889,1,1,14,277807
3901,5,3,24,787451
4821,1,4,9,742524
1324,1,3,13,276372
2765,1,2,9,426549
1436,5,4,24,521828
3300,3,3,13,612045
3053,3,2,25,551476
4345,1,2,29,601067
2296,5,1,22,523041
553,3,1,8,227029
1226,3,1,24,310422
3236,3,2,13,576603
3670,5,3,2,789335
2413,5,1,19,537558
2096,1,3,15,385326
2414,4,1,1,530304
2966,3,4,9,610360
3237,4,4,2,708237
1349,5,1,10,413149
2609,5,2,10,600948
502,5,1,20,330491
4755,4,1,20,772973
4569,5,2,21,836267
1392,1,4,12,343769
2530,5,3,6,633334
3660,2,1,22,545264
2876,4,2,16,577553
2433,2,1,29,382071
1880,5,2,1,553050
4181,1,3,11,625767
1790,3,3,24,418884
2140,5,4,9,619551
3182,1,2,17,471293
1487,4,2,21,417748
1718,2,4,26,419128
1855,2,4,10,442677
4765,2,2,15,731575
4635,4,4,16,864703
2060,1,3,18,351979
1918,4,1,17,444464
1454,2,3,2,343235
1483,5,4,20,547223
1474,3,2,26,358280
4633,4,2,25,785209
4472,4,3,15,816240
1413,1,2,5,292266
536,1,4,24,209542
3887,4,3,11,758945
2211,2,2,10,434288
3520,3,1,14,597548
1295,1,1,14,223702
4536,2,4,15,731943
3611,5,2,9,722966
1824,1,4,11,371423
817,2,3,27,270000
2896,2,1,12,468305
2662,3,3,3,549257
3245,3,2,6,604806
2091,5,4,21,603376
3611,2,4,1,656097
4430,2,4,25,727514
2496,3,3,26,523073
1812,1,1,26,274988
1785,1,3,26,345465
4811,4,3,14,840047
2883,3,2,7,561387
3739,4,2,6,699372
2639,3,2,14,524305
2204,5,1,22,527398
862,2,1,13,216017
3104,5,2,7,675099
2216,3,2,27,462630
4951,2,1,11,730508
4786,1,4,12,728515
4238,1,1,29,567249
2969,4,1,10,567434
1056,3,1,16,309841
1325,3,2,28,350412
3308,1,4,16,552301
3219,5,1,23,655298
4008,2,2,3,627105
4241,5,3,20,831143
2074,5,3,7,564760
4498,1,1,4,617031
2629,1,3,25,443793
2903,1,4,15,496664
3829,4,3,3,761175
1088,5,3,27,453785
2512,3,4,21,550976
2047,2,1,28,358471
794,4,1,14,302953
2485,3,4,11,559117
3617,5,4,4,807869
2190,1,4,29,399172
1636,5,3,22,520258
2564,2,4,15,495343
4955,4,2,13,831065
1507,4,3,9,445166
3014,2,1,6,469339
4026,3,1,12,658714
1747,3,1,19,355403
4402,4,3,27,794361
1935,4,2,28,455028
1071,1,4,4,285741
2882,3,4,28,579051
1745,2,1,2,330969
2584,3,1,14,487438
777,1,3,3,248100
2387,4,2,14,518462
1765,4,4,13,512315
1540,1,3,19,291959
1417,2,4,18,373731
1385,4,1,12,389104
3252,5,4,9,734284
521,4,2,20,292132
3691,5,2,4,734556
2853,1,1,26,387953
1186,1,2,22,213212
784,4,2,19,336752
4247,3,3,28,707452
1262,5,4,19,513525
2928,2,1,24,438014
3007,4,1,5,582983
528,2,1,3,172158
1406,4,1,1,415647
3604,3,1,21,600567
4499,3,2,15,726498
3494,3,3,17,630726
3006,3,1,4,538366
4109,1,3,21,628671
4053,1,3,3,630560
1953,5,2,29,524931
3856,2,1,12,583258
1015,4,2,18,364700
538,4,1,22,274916
3842,1,2,1,573063
1386,4,3,12,463468
3344,1,1,10,468672
2704,5,4,29,666178
1598,2,3,21,367295
2323,5,4,28,636210
3701,3,3,3,694877
3655,3,2,21,620076
3593,3,1,19,576871
4030,5,3,19,791079
4278,4,2,14,770750
3396,2,1,3,527681
3953,3,1,8,658512
4011,3,3,6,709955
1488,3,1,18,350857
4616,2,3,18,726756
4526,3,1,5,722951
4679,2,4,5,757487
2182,3,2,19,459171
4463,5,4,14,882323
1433,5,3,14,481868
4098,2,4,24,695333
3733,5,3,19,768147
2480,2,1,8,411557
2355,5,1,3,543979
3556,5,3,17,757679
1292,2,4,17,354522
1291,4,1,4,388025
2309,5,2,19,548957
2755,3,1,22,486852
4110,4,2,29,735534
2107,2,4,10,461889
1484,4,2,4,431852
4176,1,2,21,572757
3880,1,2,25,537842
1019,5,2,3,444931
1090,5,1,28,396772
1550,3,2,11,381928
4133,4,1,1,733702
4944,1,2,12,683111
1459,5,3,9,505636
1192,4,4,8,460383
4399,5,2,9,831714
4973,5,3,6,950048
3446,1,2,3,533942
1026,1,2,18,218325
3724,5,2,9,746710
2753,2,3,29,479772
3844,5,4,2,812946
4465,5,3,24,868845
2375,3,4,20,535786
2263,3,2,28,439075
1020,3,1,18,291027
1516,2,2,20,317118
616,2,4,1,276905
2933,5,3,26,675435
1083,3,2,19,320363
894,2,3,9,271961
4288,1,3,1,659579
3268,5,3,1,738746
4667,4,2,27,810561
4360,5,3,23,860050
773,4,3,16,383530
2513,3,2,15,482189
4933,4,3,15,874670
1889,3,2,13,434008
4066,1,4,6,644198
665,4,4,20,368217
2067,5,4,10,622805
1228,3,3,23,353323
2543,5,1,0,602452
4697,2,1,10,688649
3996,3,3,22,705195
1278,4,1,20,379535
713,3,2,3,279291
4262,5,1,6,776772
2076,1,3,25,363297
2948,3,3,14,583478
3436,4,2,17,638231
3617,2,4,11,641839
1091,1,3,16,250114
3220,2,2,0,531351
1213,3,1,10,323893
1435,5,1,27,426873
4837,5,2,0,876005
501,4,2,14,308941
3348,5,3,27,720254
4544,1,1,20,619221
2449,5,2,9,583504
1417,4,1,6,374875
3674,3,2,1,648526
2741,3,1,9,491744
589,5,4,23,435015
2209,2,3,3,435895
2669,3,1,11,471709
4738,5,4,18,903167
3541,4,1,25,635570
605,5,1,10,361298
1386,3,4,7,441673
927,4,1,17,341030
2395,5,1,10,549391
816,1,3,10,229088
1134,4,4,12,455179
2425,1,4,2,478385
2556,2,2,11,471639
3644,4,1,2,676696
2770,1,3,9,448980
1939,3,1,26,373734
1052,3,1,16,294330
1215,2,2,21,280623
4411,4,1,1,775661
2213,4,3,16,534899
3889,4,3,15,725171
1607,2,2,1,332546
4706,4,1,27,779677
750,3,3,21,304728
2930,1,1,29,389597
2554,3,1,19,485481
958,3,1,5,308483
707,1,2,27,173003
1399,3,1,24,321598
3961,2,3,28,639292
3885,1,1,9,535431
521,3,3,27,295139
909,5,1,9,372206
1394,3,3,7,403875
1014,2,3,0,303798
4609,4,1,12,754397
2634,3,1,23,492908
4095,4,3,8,768904
3456,5,4,21,746777
2060,3,2,9,454860
1766,1,4,14,385116
2669,4,4,4,616682
4138,5,1,21,744165
1249,1,2,15,240641
3927,1,4,12,636283
2427,1,1,21,363875
4304,1,4,24,656259
4202,3,4,19,750395
2856,3,1,17,518852
2835,3,1,10,514051
806,5,1,26,346086
4165,5,2,8,810208
2489,5,4,15,640251
1161,2,1,1,262337
811,5,3,25,431556
3420,3,4,24,640550
1582,3,3,1,428263
3471,2,2,11,549657
1254,2,1,7,283472
4630,5,3,8,896502
852,4,2,11,345073
1402,2,1,25,254621
4388,1,3,8,646714
658,3,3,9,324195
2477,1,2,24,376679
1456,3,1,1,352842
2571,3,1,15,477476
903,2,3,19,276624
3279,2,3,6,560629
1887,1,3,27,344100
3953,3,1,1,653888
1455,1,2,0,265768
2212,4,2,18,523337
1773,1,1,27,260792
4311,5,4,3,899614
3125,1,2,23,445516
2882,5,3,21,664591
1941,5,4,26,587293
3479,5,4,1,796750
